Gene,Cluster
ENSG00000004487,1
ENSG00000116127,1
ENSG00000105255,1
ENSG00000112394,1
ENSG00000130294,1
ENSG00000164985,1
ENSG00000204178,1
ENSG00000213160,1
ENSG00000025156,1
ENSG00000117155,1
ENSG00000124702,1
ENSG00000132718,1
ENSG00000137285,1
ENSG00000143190,1
ENSG00000157216,1
ENSG00000158164,1
ENSG00000163050,1
ENSG00000165821,1
ENSG00000170836,1
ENSG00000184613,1
ENSG00000013588,2
ENSG00000108846,2
ENSG00000138772,2
ENSG00000150687,2
ENSG00000067066,2
ENSG00000138119,2
ENSG00000182718,2
ENSG00000102265,2
ENSG00000104611,2
ENSG00000105974,2
ENSG00000120708,2
ENSG00000124942,2
ENSG00000131981,2
ENSG00000134107,2
ENSG00000135480,2
ENSG00000162909,2
ENSG00000163513,2
ENSG00000164647,2
ENSG00000166949,2
ENSG00000169908,2
ENSG00000185567,2
ENSG00000197747,2
ENSG00000005884,2
ENSG00000011422,2
ENSG00000021355,2
ENSG00000042445,2
ENSG00000064012,2
ENSG00000067182,2
ENSG00000105971,2
ENSG00000106546,2
ENSG00000109321,2
ENSG00000115221,2
ENSG00000115648,2
ENSG00000117525,2
ENSG00000123609,2
ENSG00000135926,2
ENSG00000137331,2
ENSG00000138678,2
ENSG00000146648,2
ENSG00000160789,2
ENSG00000163191,2
ENSG00000170425,2
ENSG00000178209,2
ENSG00000185043,2
ENSG00000196878,2
ENSG00000197956,2
ENSG00000198113,2
